Day,Visits
12/05/2011,29
12/06/2011,31
12/07/2011,35
12/08/2011,28
12/09/2011,45
12/10/2011,15
12/11/2011,28
12/12/2011,36
12/13/11,31
12/14/11,29
12/15/11,31
12/16/11,18
12/17/11,14
12/18/11,18
12/19/11,17
12/20/11,15
12/21/11,17
12/22/11,12
12/23/11,9
12/24/11,8
12/25/11,10
12/26/11,13
12/27/11,21
12/28/11,25
12/29/11,16
12/30/11,11
12/31/11,16
01/01/2012,29
01/02/2012,61
01/03/2012,52
01/04/2012,48
01/05/2012,41
01/06/2012,36
01/07/2012,17
01/08/2012,29
01/09/2012,56
01/10/2012,47
01/11/2012,35
01/12/2012,48
1/13/12,34
1/14/12,19
1/15/12,28
1/16/12,34
1/17/12,45
1/18/12,30
1/19/12,47
1/20/12,24
1/21/12,21
1/22/12,25
1/23/12,50
1/24/12,62
1/25/12,44
1/26/12,41
1/27/12,32
1/28/12,23
1/29/12,18
1/30/12,42
1/31/12,41
02/01/2012,47
02/02/2012,30
02/03/2012,43
02/04/2012,11
02/05/2012,19
02/06/2012,38
02/07/2012,40
02/08/2012,43
02/09/2012,24
02/10/2012,22
02/11/2012,17
02/12/2012,16
2/13/12,45
2/14/12,38
2/15/12,51
2/16/12,30
2/17/12,30
2/18/12,22
2/19/12,16
2/20/12,55
2/21/12,48
2/22/12,32
2/23/12,39
2/24/12,16
2/25/12,19
2/26/12,27
2/27/12,41
2/28/12,45
2/29/12,29
03/01/2012,43
03/02/2012,28
03/03/2012,21
03/04/2012,23
03/05/2012,38
03/06/2012,32
03/07/2012,47
03/08/2012,34
03/09/2012,29
03/10/2012,24
03/11/2012,25
03/12/2012,39
3/13/12,35
3/14/12,39
3/15/12,27
3/16/12,25
3/17/12,22
3/18/12,19
3/19/12,44
3/20/12,38
3/21/12,32
3/22/12,36
3/23/12,22
3/24/12,22
3/25/12,19
3/26/12,47
3/27/12,47
3/28/12,33
3/29/12,36
3/30/12,28
3/31/12,20
04/01/2012,26
04/02/2012,39
04/03/2012,46
04/04/2012,34
04/05/2012,27
04/06/2012,24
04/07/2012,12
04/08/2012,23
04/09/2012,26
04/10/2012,47
04/11/2012,33
04/12/2012,23
4/13/12,27
4/14/12,13
4/15/12,27
4/16/12,42
4/17/12,47
4/18/12,43
4/19/12,30
4/20/12,28
4/21/12,19
4/22/12,19
4/23/12,28
4/24/12,43
4/25/12,45
4/26/12,41
4/27/12,21
4/28/12,14
4/29/12,19
4/30/12,31
05/01/2012,22
05/02/2012,41
05/03/2012,33
05/04/2012,26
05/05/2012,23
05/06/2012,33
05/07/2012,42
05/08/2012,30
05/09/2012,40
05/10/2012,43
05/11/2012,34
05/12/2012,18
5/13/12,29
5/14/12,46
5/15/12,33
5/16/12,42
5/17/12,43
5/18/12,24
5/19/12,16
5/20/12,35
5/21/12,42
5/22/12,36
5/23/12,39
5/24/12,46
5/25/12,29
5/26/12,24
5/27/12,22
5/28/12,40
5/29/12,41
5/30/12,44
5/31/12,43
06/01/2012,30
06/02/2012,22
06/03/2012,20
06/04/2012,54
06/05/2012,46
06/06/2012,23
06/07/2012,29
06/08/2012,27
06/09/2012,16
06/10/2012,26
06/11/2012,36
06/12/2012,31
6/13/12,33
6/14/12,34
6/15/12,25
6/16/12,12
6/17/12,18
6/18/12,52
6/19/12,31
6/20/12,37
6/21/12,31
6/22/12,26
6/23/12,11
6/24/12,13
6/25/12,38
6/26/12,40
6/27/12,24
6/28/12,19
6/29/12,15
6/30/12,11
07/01/2012,13
07/02/2012,39
07/03/2012,23
07/04/2012,23
07/05/2012,14
07/06/2012,8
07/07/2012,6
07/08/2012,13
07/09/2012,36
07/10/2012,29
07/11/2012,23
07/12/2012,42
7/13/12,25
7/14/12,10
7/15/12,11
7/16/12,42
7/17/12,31
7/18/12,20
7/19/12,27
7/20/12,23
7/21/12,9
7/22/12,10
7/23/12,32
7/24/12,30
7/25/12,32
7/26/12,21
7/27/12,13
7/28/12,19
7/29/12,16
7/30/12,20
7/31/12,27
08/01/2012,40
08/02/2012,24
08/03/2012,26
08/04/2012,10
08/05/2012,10
08/06/2012,28
08/07/2012,38
08/08/2012,18
08/09/2012,14
08/10/2012,15
08/11/2012,13
08/12/2012,19
8/13/12,44
8/14/12,38
8/15/12,18
8/16/12,25
8/17/12,17
8/18/12,6
8/19/12,18
8/20/12,28
8/21/12,30
8/22/12,33
8/23/12,20
8/24/12,21
8/25/12,14
8/26/12,12
8/27/12,28
8/28/12,28
8/29/12,24
8/30/12,18
8/31/12,22
09/01/2012,12
09/02/2012,15
09/03/2012,30
09/04/2012,30
09/05/2012,28
09/06/2012,29
09/07/2012,16
09/08/2012,20
09/09/2012,17
09/10/2012,36
09/11/2012,34
09/12/2012,25
9/13/12,27
9/14/12,26
9/15/12,8
9/16/12,13
9/17/12,38
9/18/12,37
9/19/12,38
9/20/12,25
9/21/12,17
9/22/12,15
9/23/12,14
9/24/12,43
9/25/12,44
9/26/12,23
9/27/12,29
9/28/12,11
9/29/12,20
9/30/12,19
10/01/2012,34
10/02/2012,35
10/03/2012,31
10/04/2012,27
10/05/2012,28
10/06/2012,27
10/07/2012,30
10/08/2012,40
10/09/2012,37
10/10/2012,40
10/11/2012,39
10/12/2012,32
10/13/12,8
10/14/12,26
10/15/12,38
10/16/12,42
10/17/12,43
10/18/12,37
10/19/12,25
10/20/12,15
10/21/12,31
10/22/12,40
10/23/12,41
10/24/12,26
10/25/12,43
10/26/12,29
10/27/12,20
10/28/12,20
10/29/12,41
10/30/12,36
10/31/12,38
11/01/2012,36
11/02/2012,31
11/03/2012,12
11/04/2012,27
11/05/2012,38
11/06/2012,41
11/07/2012,22
11/08/2012,38
11/09/2012,28
11/10/2012,20
11/11/2012,19
11/12/2012,48
11/13/12,40
11/14/12,32
11/15/12,36
11/16/12,34
11/17/12,20
11/18/12,33
11/19/12,41
11/20/12,41
11/21/12,50
11/22/12,22
11/23/12,28
11/24/12,25
11/25/12,18
11/26/12,42
11/27/12,28
11/28/12,32
11/29/12,35
11/30/12,22
12/01/2012,15
12/02/2012,18
12/03/2012,17
12/04/2012,35
12/05/2012,32
12/06/2012,38
12/07/2012,26
12/08/2012,6
12/09/2012,23
12/10/2012,32
12/11/2012,29
12/12/2012,35
12/13/12,28
12/14/12,21
12/15/12,18
12/16/12,16
12/17/12,25
12/18/12,27
12/19/12,42
12/20/12,20
12/21/12,25
12/22/12,14
12/23/12,9
12/24/12,13
12/25/12,9
12/26/12,12
12/27/12,29
12/28/12,25
12/29/12,12
12/30/12,18
12/31/12,20
01/01/2013,26
01/02/2013,33
01/03/2013,36
01/04/2013,27
01/05/2013,22
01/06/2013,26
01/07/2013,43
01/08/2013,28
01/09/2013,33
01/10/2013,27
01/11/2013,18
01/12/2013,19
1/13/13,26
1/14/13,32
1/15/13,49
1/16/13,32
1/17/13,26
1/18/13,23
1/19/13,13
1/20/13,26
1/21/13,54
1/22/13,37
1/23/13,43
1/24/13,36
1/25/13,34
1/26/13,15
1/27/13,25
1/28/13,48
1/29/13,62
1/30/13,54
1/31/13,40
02/01/2013,36
02/02/2013,27
02/03/2013,19
02/04/2013,30
02/05/2013,36
02/06/2013,46
02/07/2013,34
02/08/2013,31
02/09/2013,17
02/10/2013,14
02/11/2013,33
02/12/2013,33
2/13/13,56
2/14/13,35
2/15/13,29
2/16/13,16
2/17/13,18
2/18/13,44
2/19/13,30
2/20/13,45
2/21/13,29
2/22/13,29
2/23/13,21
2/24/13,23
2/25/13,33
2/26/13,40
2/27/13,40
2/28/13,28
03/01/2013,26
03/02/2013,19
03/03/2013,26
03/04/2013,62
03/05/2013,53
03/06/2013,42
03/07/2013,43
03/08/2013,33
03/09/2013,22
03/10/2013,22
03/11/2013,39
03/12/2013,37
3/13/13,30
3/14/13,41
3/15/13,39
3/16/13,14
3/17/13,21
3/18/13,39
3/19/13,43
3/20/13,35
3/21/13,34
3/22/13,23
3/23/13,15
3/24/13,15
3/25/13,39
3/26/13,47
3/27/13,28
3/28/13,28
3/29/13,22
3/30/13,15
3/31/13,16
04/01/2013,14
04/02/2013,44
04/03/2013,44
04/04/2013,39
04/05/2013,27
04/06/2013,26
04/07/2013,43
04/08/2013,49
04/09/2013,38
04/10/2013,33
04/11/2013,27
04/12/2013,25
4/13/13,19
4/14/13,19
4/15/13,52
4/16/13,42
4/17/13,25
4/18/13,32
4/19/13,31
4/20/13,15
4/21/13,15
4/22/13,38
4/23/13,42
4/24/13,39
4/25/13,29
4/26/13,16
4/27/13,18
4/28/13,34
4/29/13,38
4/30/13,29
05/01/2013,25
05/02/2013,26
05/03/2013,19
05/04/2013,16
05/05/2013,18
05/06/2013,38
05/07/2013,25
05/08/2013,18
05/09/2013,44
05/10/2013,26
05/11/2013,22
05/12/2013,20
5/13/13,30
5/14/13,34
5/15/13,27
5/16/13,29
5/17/13,22
5/18/13,15
5/19/13,24
5/20/13,57
5/21/13,38
5/22/13,44
5/23/13,35
5/24/13,21
5/25/13,18
5/26/13,27
5/27/13,39
5/28/13,40
5/29/13,47
5/30/13,39
5/31/13,34
06/01/2013,15
06/02/2013,10
06/03/2013,30
06/04/2013,26
06/05/2013,23
06/06/2013,22
06/07/2013,18
06/08/2013,7
06/09/2013,13
06/10/2013,31
06/11/2013,20
06/12/2013,21
6/13/13,24
6/14/13,18
6/15/13,11
6/16/13,11
6/17/13,22
6/18/13,19
6/19/13,31
6/20/13,25
6/21/13,23
6/22/13,15
6/23/13,11
6/24/13,52
6/25/13,40
6/26/13,34
6/27/13,35
6/28/13,17
6/29/13,9
6/30/13,12
07/01/2013,25
07/02/2013,20
07/03/2013,19
07/04/2013,21
07/05/2013,8
07/06/2013,8
07/07/2013,14
07/08/2013,26
07/09/2013,26
07/10/2013,22
07/11/2013,18
07/12/2013,20
7/13/13,6
7/14/13,16
7/15/13,23
7/16/13,15
7/17/13,17
7/18/13,17
7/19/13,18
7/20/13,12
7/21/13,11
7/22/13,20
7/23/13,30
7/24/13,21
7/25/13,18
7/26/13,17
7/27/13,11
7/28/13,8
7/29/13,18
7/30/13,23
7/31/13,31
,"23,768"
